step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,25.67365523800254,25.678531236946583,0,4,4,709,warmup
1,decode,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.037436991930007935,25.71606819331646,0,4,4,709,warmup
2,prefill,5,long_0,1,128,0,0,,0.2736975699663162,25.992993883788586,5,4,8,705,main
3,prefill,5,long_0,1,128,0,0,,0.03525626286864281,26.02836476638913,5,4,8,705,main
4,prefill,5,long_0,1,128,0,0,,0.03009309247136116,26.058521788567305,5,4,8,705,main
5,prefill,5,long_0,1,128,0,0,,0.029716316610574722,26.088319201022387,5,4,8,705,main
6,prefill,5,long_0,1,128,0,0,,0.02974269911646843,26.118102099746466,5,4,8,705,main
7,prefill,5,long_0,1,128,0,0,,0.02989053726196289,26.148079309612513,5,4,8,705,main
8,prefill,5,long_0,1,128,0,0,,0.030694041401147842,26.178825572133064,5,4,8,705,main
9,prefill,5,long_0,1,128,0,1,,0.02947044000029564,26.208377365022898,4,5,8,705,main
10,prefill,6 7 8 9,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.029693488031625748,26.23813558369875,0,9,12,701,main
11,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.02808491885662079,26.266295488923788,0,9,13,700,main
12,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.027814257889986038,26.29417784139514,0,9,13,700,main
