step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,23.595414873212576,23.598986349999905,0,4,4,669,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.030313540250062943,23.629378382116556,0,4,4,669,warmup
2,prefill,15,long_0,1,128,0,0,,0.03083917498588562,23.663620617240667,5,4,8,665,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.02791796252131462,23.691596493124962,5,4,8,665,main
4,prefill,15,long_0,1,128,0,0,,0.029814161360263824,23.721487775444984,5,4,8,665,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.027607131749391556,23.74913966283202,5,4,8,665,main
6,prefill,15,long_0,1,128,0,0,,0.02965286374092102,23.778832975775003,5,4,8,665,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.027906514704227448,23.80679164081812,5,4,8,665,main
8,prefill,15,long_0,1,128,0,0,,0.029647376388311386,23.836512450128794,5,4,8,665,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.027900751680135727,23.864459991455078,5,4,8,665,main
10,prefill,15,long_0,1,128,0,0,,0.03008882701396942,23.894597474485636,5,4,8,665,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.027876634150743484,23.92252665758133,5,4,8,665,main
12,prefill,15,long_0,1,128,0,0,,0.029888223856687546,23.95249180495739,5,4,8,665,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.027766861021518707,23.980303466320038,5,4,8,665,main
14,prefill,15,long_0,1,128,0,0,,0.030086800456047058,24.01043452695012,5,4,8,665,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.02796667441725731,24.03845963999629,5,4,8,665,main
16,prefill,15,long_0,1,128,0,1,,0.029748819768428802,24.068302161991596,4,5,8,665,main
17,decode,11 12 13 14 15,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0,5,0,5,5,,0.027889985591173172,24.096256148070097,4,5,9,664,main
18,prefill,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.029648546129465103,24.125979777425528,0,9,13,660,main
19,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0276024267077446,24.15364008024335,0,9,13,660,main
20,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.030863098800182343,24.18457394838333,0,9,13,660,main
