step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,35.233218654990196,35.235911175608635,0,4,4,669,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03320065140724182,35.26922782510519,0,4,4,669,warmup
2,prefill,15,long_0,1,128,0,0,,0.033834271132946014,35.30624466389418,5,4,8,665,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0333734005689621,35.33974473923445,5,4,8,665,main
4,prefill,15,long_0,1,128,0,0,,0.03430679440498352,35.37427885085344,5,4,8,665,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.030438415706157684,35.40480677783489,5,4,8,665,main
6,prefill,15,long_0,1,128,0,0,,0.03322631120681763,35.43809077143669,5,4,8,665,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03185555338859558,35.470018088817596,5,4,8,665,main
8,prefill,15,long_0,1,128,0,0,,0.03216196596622467,35.50231935083866,5,4,8,665,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.030231773853302002,35.53262200951576,5,4,8,665,main
10,prefill,15,long_0,1,128,0,0,,0.033858522772789,35.56654554605484,5,4,8,665,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03298596292734146,35.59967652708292,5,4,8,665,main
12,prefill,15,long_0,1,128,0,0,,0.03158573806285858,35.63141158223152,5,4,8,665,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.02928418666124344,35.6607678309083,5,4,8,665,main
14,prefill,15,long_0,1,128,0,0,,0.030144184827804565,35.69101178646088,5,4,8,665,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.028760172426700592,35.719832964241505,5,4,8,665,main
16,prefill,15,long_0,1,128,0,1,,0.03177650272846222,35.75175131112337,4,5,8,665,main
