step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,46.11961471289396,46.12527135759592,0,4,4,709,warmup
1,decode,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.015186555683612823,46.140721902251244,0,4,4,709,warmup
2,prefill,5,long_0,1,128,0,0,,0.3839779570698738,46.53110898286104,5,4,8,705,main
3,prefill,5,long_0,1,128,0,0,,0.20136333256959915,46.73269283026457,5,4,8,705,main
4,prefill,5,long_0,1,128,0,0,,0.040117792785167694,46.77291011065245,5,4,8,705,main
5,prefill,5,long_0,1,128,0,0,,0.032367199659347534,46.80542369186878,5,4,8,705,main
6,prefill,5,long_0,1,128,0,0,,0.031779415905475616,46.837280824780464,5,4,8,705,main
7,prefill,5,long_0,1,128,0,0,,0.031177587807178497,46.86860552430153,5,4,8,705,main
8,prefill,5,long_0,1,128,0,0,,0.036810532212257385,46.90547749400139,5,4,8,705,main
9,prefill,5,long_0,1,128,0,1,,0.03291281312704086,46.93857445567846,4,5,8,705,main
10,prefill,6 7 8 9,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.032963283360004425,46.97190511226654,0,9,12,701,main
11,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.004063226282596588,46.97608955204487,0,9,13,700,main
12,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0030522868037223816,46.979230269789696,0,9,13,700,main
13,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.002995528280735016,46.982279404997826,0,9,13,700,main
14,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.003049112856388092,46.9853825494647,0,9,13,700,main
15,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0030216649174690247,46.988456048071384,0,9,13,700,main
16,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0030131489038467407,46.9915215075016,0,9,13,700,main
17,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0029934048652648926,46.99457076191902,0,9,13,700,main
