step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,39.887931399047375,39.89063862711191,0,4,4,667,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.003936767578125,39.89468486607075,0,4,4,667,warmup
2,prefill,15,long_0,1,128,0,0,,0.03526535630226135,39.93286641687155,5,4,8,663,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.002759672701358795,39.93572820723057,5,4,8,663,main
4,prefill,15,long_0,1,128,0,0,,0.031703121960163116,39.96754401177168,5,4,8,663,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0027470141649246216,39.970382407307625,5,4,8,663,main
6,prefill,15,long_0,1,128,0,0,,0.03330489248037338,40.003742940723896,5,4,8,663,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0028344839811325073,40.006692223250866,5,4,8,663,main
8,prefill,15,long_0,1,128,0,0,,0.03242116421461105,40.039246656000614,5,4,8,663,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0027613192796707153,40.04211275279522,5,4,8,663,main
10,prefill,15,long_0,1,128,0,0,,0.03181489557027817,40.0739953070879,5,4,8,663,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.002744242548942566,40.07682889699936,5,4,8,663,main
12,prefill,15,long_0,1,128,0,0,,0.032455578446388245,40.109399512410164,5,4,8,663,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0027510374784469604,40.11224336922169,5,4,8,663,main
14,prefill,15,long_0,1,128,0,0,,0.0323321670293808,40.14464804530144,5,4,8,663,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0027364492416381836,40.14748328179121,5,4,8,663,main
16,prefill,15,long_0,1,128,0,1,,0.030790068209171295,40.17837806791067,4,5,8,663,main
17,decode,11 12 13 14 15,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0,5,0,5,5,,0.003958217799663544,40.18239990621805,4,5,9,662,main
18,prefill,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.030234605073928833,40.212708577513695,0,9,13,658,main
