step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,52.192524179816246,52.19558522105217,0,4,4,669,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0522170215845108,52.247924365103245,0,4,4,669,warmup
2,prefill,15,long_0,1,128,0,0,,0.04011163115501404,52.291044145822525,5,4,8,665,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.042691491544246674,52.333858132362366,5,4,8,665,main
4,prefill,15,long_0,1,128,0,0,,0.03327619284391403,52.3673787266016,5,4,8,665,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03077913075685501,52.3982559889555,5,4,8,665,main
6,prefill,15,long_0,1,128,0,0,,0.03200743347406387,52.430338837206364,5,4,8,665,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.030341938138008118,52.46075205504894,5,4,8,665,main
8,prefill,15,long_0,1,128,0,0,,0.03334638476371765,52.49425698816776,5,4,8,665,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03129265457391739,52.52564486861229,5,4,8,665,main
10,prefill,15,long_0,1,128,0,0,,0.03215666860342026,52.55790609866381,5,4,8,665,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.029677703976631165,52.58768314868212,5,4,8,665,main
12,prefill,15,long_0,1,128,0,0,,0.03263235092163086,52.6204616650939,5,4,8,665,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.02957286685705185,52.65011537820101,5,4,8,665,main
14,prefill,15,long_0,1,128,0,0,,0.0320078581571579,52.68219821900129,5,4,8,665,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03050839900970459,52.71281307190657,5,4,8,665,main
16,prefill,15,long_0,1,128,0,1,,0.03261090815067291,52.745598651468754,4,5,8,665,main
17,decode,11 12 13 14 15,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0,5,0,5,5,,0.03240125626325607,52.778107441961765,4,5,9,664,main
18,prefill,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.03302083909511566,52.81125903874636,0,9,13,660,main
19,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03130185604095459,52.842674903571606,0,9,13,660,main
20,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.029589839279651642,52.872372053563595,0,9,13,660,main
21,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.029773838818073273,52.90222425758839,0,9,13,660,main
22,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03140337020158768,52.93371602892876,0,9,13,660,main
23,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.02997635304927826,52.963816702365875,0,9,13,660,main
