step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,41.64196038991213,41.64775054901838,0,4,4,725,warmup
1,decode,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.13730159401893616,41.785211391747,0,4,4,725,warmup
2,prefill,5,long_0,1,128,0,0,,0.43657340854406357,42.22705677896738,5,4,8,721,main
3,prefill,5,long_0,1,128,0,0,,0.13890346139669418,42.366169199347496,5,4,8,721,main
4,prefill,5,long_0,1,128,0,0,,0.04980748891830444,42.41608774662018,5,4,8,721,main
5,prefill,5,long_0,1,128,0,0,,0.04205940663814545,42.458297185599804,5,4,8,721,main
6,prefill,5,long_0,1,128,0,0,,0.04603937268257141,42.50441560894251,5,4,8,721,main
7,prefill,5,long_0,1,128,0,0,,0.04220568388700485,42.54679860919714,5,4,8,721,main
8,prefill,5,long_0,1,128,0,0,,0.048583582043647766,42.59545414894819,5,4,8,721,main
9,prefill,5,long_0,1,128,0,1,,0.04604237526655197,42.6417406052351,4,5,8,721,main
10,prefill,6 7 8 9,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.04772588610649109,42.689607225358486,0,9,12,717,main
11,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.046115942299366,42.73597517609596,0,9,13,716,main
12,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03945358842611313,42.77554552257061,0,9,13,716,main
13,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.05052684247493744,42.82618700712919,0,9,13,716,main
14,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03706928342580795,42.86336727440357,0,9,13,716,main
15,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04926857352256775,42.91270738840103,0,9,13,716,main
16,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.037714600563049316,42.95055592805147,0,9,13,716,main
17,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.042594313621520996,42.993251115083694,0,9,13,716,main
18,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.041355058550834656,43.03476718068123,0,9,13,716,main
