step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,34.03305096924305,34.035784654319286,0,4,4,699,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.04198087006807327,34.077888675034046,0,4,4,699,warmup
2,prefill,15,long_0,1,128,0,0,,0.04149462282657623,34.12237171083689,5,4,8,695,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03935559093952179,34.16182564944029,5,4,8,695,main
4,prefill,15,long_0,1,128,0,0,,0.04165762662887573,34.20363251119852,5,4,8,695,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.04030013829469681,34.24403469264507,5,4,8,695,main
6,prefill,15,long_0,1,128,0,0,,0.039858996868133545,34.2839889600873,5,4,8,695,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.038979753851890564,34.323056131601334,5,4,8,695,main
8,prefill,15,long_0,1,128,0,0,,0.03994608670473099,34.3631946593523,5,4,8,695,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03694073110818863,34.40020553767681,5,4,8,695,main
10,prefill,15,long_0,1,128,0,0,,0.039128854870796204,34.43941551446915,5,4,8,695,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03731369972229004,34.47682861238718,5,4,8,695,main
12,prefill,15,long_0,1,128,0,0,,0.03910801559686661,34.51605476438999,5,4,8,695,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03662722557783127,34.55276224017143,5,4,8,695,main
14,prefill,15,long_0,1,128,0,0,,0.038377173244953156,34.591214805841446,5,4,8,695,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.037724658846855164,34.62903272360563,5,4,8,695,main
16,prefill,15,long_0,1,128,0,1,,0.04128941148519516,34.670488350093365,4,5,8,695,main
17,decode,11 12 13 14 15,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0,5,0,5,5,,0.03754177689552307,34.70813078433275,4,5,9,694,main
18,prefill,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.04013633728027344,34.74839144945145,0,9,13,690,main
19,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03750750422477722,34.786003798246384,0,9,13,690,main
20,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03686390817165375,34.8229618370533,0,9,13,690,main
21,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03799235820770264,34.86105754226446,0,9,13,690,main
22,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03759906440973282,34.898748718202114,0,9,13,690,main
23,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.036976173520088196,34.93582563102245,0,9,13,690,main
24,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03705454617738724,34.972970850765705,0,9,13,690,main
25,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03741209954023361,35.01045186817646,0,9,13,690,main
26,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03796076029539108,35.048507422208786,0,9,13,690,main
27,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.036751531064510345,35.08534152805805,0,9,13,690,main
28,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03745158016681671,35.12288601696491,0,9,13,690,main
29,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03721220791339874,35.16019784659147,0,9,13,690,main
30,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03669584542512894,35.19697195291519,0,9,13,690,main
31,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03720339387655258,35.23427897691727,0,9,13,690,main
32,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,15,0.037429600954055786,35.271814435720444,0,8,8,695,main
