step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,41.42746913433075,41.43357139080763,0,4,4,725,warmup
1,decode,1 2 3 4,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.15988966822624207,41.593599267303944,0,4,4,725,warmup
2,prefill,5,long_0,1,128,0,0,,0.41690611094236374,42.014198288321495,5,4,8,721,main
3,prefill,5,long_0,1,128,0,0,,0.14114123582839966,42.1557075381279,5,4,8,721,main
4,prefill,5,long_0,1,128,0,0,,0.04383206367492676,42.19962140917778,5,4,8,721,main
5,prefill,5,long_0,1,128,0,0,,0.04015124589204788,42.23991709202528,5,4,8,721,main
6,prefill,5,long_0,1,128,0,0,,0.04498405009508133,42.28496593236923,5,4,8,721,main
7,prefill,5,long_0,1,128,0,0,,0.04124365746974945,42.32634627819061,5,4,8,721,main
8,prefill,5,long_0,1,128,0,0,,0.04679303616285324,42.37321066111326,5,4,8,721,main
9,prefill,5,long_0,1,128,0,1,,0.04133728891611099,42.414710715413094,4,5,8,721,main
10,prefill,6 7 8 9,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.040543943643569946,42.45538026839495,0,9,12,717,main
11,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.042787156999111176,42.49829609692097,0,9,13,716,main
12,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03802447021007538,42.53642575442791,0,9,13,716,main
13,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.043775953352451324,42.58028627932072,0,9,13,716,main
14,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.039702482521533966,42.62011347711086,0,9,13,716,main
15,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04300686717033386,42.66322822123766,0,9,13,716,main
16,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0441833958029747,42.70754283666611,0,9,13,716,main
17,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.038159340620040894,42.745802238583565,0,9,13,716,main
18,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04277237504720688,42.78865171968937,0,9,13,716,main
19,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.038892991840839386,42.827651381492615,0,9,13,716,main
20,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04042106121778488,42.86818703263998,0,9,13,716,main
21,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04129362851381302,42.90961764007807,0,9,13,716,main
22,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03929039090871811,42.94902032613754,0,9,13,716,main
23,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04153698682785034,42.99070813506842,0,9,13,716,main
24,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.0386052131652832,43.029418751597404,0,9,13,716,main
25,decode,1 2 3 4 5 6 7 8,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,5,0.03906712681055069,43.06861560791731,0,8,8,721,main
26,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.04256293922662735,43.11129838973284,0,8,8,721,main
27,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.038180507719516754,43.14958114922047,0,8,8,721,main
28,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.045751094818115234,43.19545118510723,0,8,8,721,main
29,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.036840297281742096,43.23239464312792,0,8,8,721,main
30,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.039006151258945465,43.2716720700264,0,8,8,721,main
31,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.03992200642824173,43.3117308691144,0,8,8,721,main
32,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.03730721026659012,43.349165588617325,0,8,8,721,main
33,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.043339475989341736,43.39262630045414,0,8,8,721,main
34,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.03674796223640442,43.42947789281607,0,8,8,721,main
35,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.04037389159202576,43.46992543339729,0,8,8,721,main
36,decode,1 2 3 4 6 7 8 9,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.037973202764987946,43.50803526490927,0,8,8,721,main
