step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
0,prefill,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,64,0,4,,52.68512850254774,52.691454134881496,0,4,4,699,warmup
1,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.04340159893035889,52.73504599183798,0,4,4,699,warmup
2,prefill,15,long_0,1,128,0,0,,0.04434851557016373,52.782794788479805,5,4,8,695,main
3,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.039172299206256866,52.82207551598549,5,4,8,695,main
4,prefill,15,long_0,1,128,0,0,,0.04125416278839111,52.8635053858161,5,4,8,695,main
5,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03959624469280243,52.903212532401085,5,4,8,695,main
6,prefill,15,long_0,1,128,0,0,,0.04021786153316498,52.943529069423676,5,4,8,695,main
7,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03781438618898392,52.98143092542887,5,4,8,695,main
8,prefill,15,long_0,1,128,0,0,,0.04081833362579346,53.022443786263466,5,4,8,695,main
9,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.03906603902578354,53.06160976737738,5,4,8,695,main
10,prefill,15,long_0,1,128,0,0,,0.04087471216917038,53.10258764773607,5,4,8,695,main
11,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.0370621532201767,53.13972869515419,5,4,8,695,main
12,prefill,15,long_0,1,128,0,0,,0.0387684628367424,53.17862066626549,5,4,8,695,main
13,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.037665605545043945,53.21635311841965,5,4,8,695,main
14,prefill,15,long_0,1,128,0,0,,0.04145622253417969,53.25790958851576,5,4,8,695,main
15,decode,11 12 13 14,initial_short_0 initial_short_1 initial_short_2 initial_short_3,4,0,4,4,,0.044363923370838165,53.302382722496986,5,4,8,695,main
16,prefill,15,long_0,1,128,0,1,,0.04025658220052719,53.34285685420036,4,5,8,695,main
17,decode,11 12 13 14 15,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0,5,0,5,5,,0.0376831516623497,53.380632407963276,4,5,9,694,main
18,prefill,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,64,0,4,,0.039020389318466187,53.41975786536932,0,9,13,690,main
19,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04231811314821243,53.46216070652008,0,9,13,690,main
20,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.038122400641441345,53.50041679292917,0,9,13,690,main
21,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03629561513662338,53.53677819669247,0,9,13,690,main
22,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.036342374980449677,53.57318300008774,0,9,13,690,main
23,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03603208065032959,53.60928634554148,0,9,13,690,main
24,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.035898320376873016,53.645241521298885,0,9,13,690,main
25,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.04013967514038086,53.6854494959116,0,9,13,690,main
26,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03773510456085205,53.72333958745003,0,9,13,690,main
27,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03658473491668701,53.7600040063262,0,9,13,690,main
28,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03583724796772003,53.795898139476776,0,9,13,690,main
29,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.035759031772613525,53.83171220123768,0,9,13,690,main
30,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.035996243357658386,53.867766700685024,0,9,13,690,main
31,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,,0.03623653203248978,53.90406110882759,0,9,13,690,main
32,decode,11 12 13 14 15 16 17 18,initial_short_0 initial_short_1 initial_short_2 initial_short_3 long_0 late_short_0 late_short_1 late_short_2,8,0,8,8,15,0.04162939637899399,53.94577568769455,0,8,8,695,main
33,decode,11 12 13 14 16 17 18 19,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.03765905648469925,53.983548529446125,0,8,8,695,main
